text	Previous_predict	predection
  rule law Law RULE	0.0	0
puerto Rican understand pr USA territory JERKOFF	1.0	0
  um bc	0.0	0
murder like Dylan roof	1.0	0
  nice trump supporter tell believe great compare criminal history american politic	0.0	0
    Nov election tell tale msm laud Antifa alt medium expose Soros shill shithead	1.0	1
  collision	1.0	0
  thank man stock store tbh need order phone online pick 2 3 day Texas	0.0	0
  Carrey look like tranny day	1.0	0
   recommend watch conservative	0.0	0
7 2 roe decision Scotus statement	0.0	0
modern liberal conservative white man devil	1.0	1
  Josh fuck loli robot	1.0	1
    embarrassing low human possible diminish loss life elderly	1.0	0
     love graphic novel shelf priority excellent librarian clapping_hands clapping_hand clapping_hand	0.0	0
  Man'sNotBarryRoux goggle dig information ga o flake face_with_rolling_eyes thinking_face thinking_face face_with_rolling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes	0.0	0
  aw Chelsea end well person love parent	0.0	0
  say Travis Ellen hate ass bitch loudly_crying_face	1.0	1
  stage pain ass terrorist hunt love	1.0	1
  red_heart beloved red_heart	0.0	0
       Toffee face_savoring_food	0.0	0
  Mom well watch Moron hand 17 accusation sexual harassment charge affect Pee stain skin liking peed	1.0	0
    People speak gun control gun violence choose pay attention wilful ignorance	0.0	0
county liberal corrupt Mike Madigan URL	1.0	1
Unafraid Unscathed   bring Hope change world MAGA nokosoko North Korea Kim Jong un agree shut missile site BBC News url	0.0	0
  clue talk not tell difference real nazi freedom love minority	0.0	0
   question s gun control law ass work	1.0	1
  Iran u belong stupid idiot	1.0	1
19 professor student murder Connecticut 223 Bushmaster XM15 E2S rifle NRA blame gun control law	1.0	0
   Bloodsport forget monologue jackson describe big monster think 60	1.0	0
  Nice hat face_with_tears_of_joy hey liberal Democrats   live Rent Free you head like McDonald imlovingit Sweet Revenge taste good MAGA WalkAway	1.0	0
liberal agree destructive url	0.0	0
situation warped attempt power away individual	0.0	0
    liberal minority Republicans brain cell rock	1.0	1
control difference Women lobby use	0.0	0
      calm patient great mind people bc viewpoint aspect life	1.0	0
  truly amazing sir ji	0.0	0
  Damn ugly	1.0	1
   Fuck cunt try size url	1.0	1
TourismJobs GOP maga uspoli USPolitics url	0.0	0
  Antifa burn Conservatives house CNN light torch throw gas flame	1.0	0
battle comic fate rage URL foxnew	1.0	0
     pathetic	1.0	0
know king Tshwane know Thulare dude	0.0	0
  Bono attempt inculcate masse later life epiphany senility certain marker guess Bono clear sad flushed_face thinking_face thinking_face	1.0	0
     village miss idiot face_with_rolling_eyes	1.0	1
  leave girlfriend know good you understand	0.0	0
firearm right comment gun control	0.0	0
      amazing consistently manage piss progressive conservative arrogantly misguided segment	1.0	0
  scream official throw racket confused	0.0	0
  Booooring	0.0	0
   pedo	1.0	0
complete imbecile	1.0	0
want pretend vilify ugh	1.0	0
  true pretty damn good QB	0.0	1
12 way use Saul Alinsky rule Radicals Liberals url	0.0	0
  today	0.0	0
   think u right deed wear Jersey raising_hand	0.0	0
  slow wanna ask bring personal mac use work computer wanna like apple snob shake	1.0	0
  think sorry true Obama screw american people	1.0	1
   support Jahs blessing hussle d bomb	1.0	0
fucking proof enjoy consciousness def change doit	1.0	1
status illegal contempt law pull scam 24/7	1.0	0
      rap like pop thing pop butt implant Remy skinn pregnant url	1.0	1
   will elect Beto	0.0	0
  like music suck	1.0	1
  yes url	0.0	0
let happen kind Treason 2 amendment	1.0	0
  girl bitch aggravate	1.0	1
  Ali hometown welcome safe ride storm	0.0	0
  repulsive human possible level	1.0	0
show sane	1.0	0
   achichincle lamebota	1.0	0
   	0.0	0
   GUN CONTROL	0.0	0
red_question_mark double_exclamation_mark   url	1.0	0
   thinking_face thinking_face hang 70 plus frog cock thinking_face face_with_tears_of_joy face_with_tears_of_joy	0.0	0
   END Story lie Liberals Witness thinking_face	1.0	0
   pound wanka	0.0	0
add Antifa organize pay protestor Kavanaugh hearing united_state url	0.0	0
  backon twitter	0.0	0
  penn state produce criminal	0.0	0
think Student Loan Crisis url tcot maga rednationrise	1.0	0
       thank mum	0.0	0
    oh wait til hurricane meal tweet go to sooo jealous	0.0	0
liberal play politic nowadays	0.0	0
    role model Adam	0.0	0
   hurt constantly apologize far right conservative	0.0	0
prove country bad	1.0	1
history judge QAnon url	0.0	0
  ya sexy lady ♡	1.0	0
   exactly evil liberal try intimidate people step guess bullying ok liberal	1.0	0
	0.0	0
conservative find guilty accusation know political url	1.0	0
  spot thank Joe Creepy Jr spread Joe message	0.0	0
trump toryparty ukip conservative christian qanon	0.0	0
  Google CFO joke idiot hire position Googlearecorrupt BestuseQwant	1.0	1
  play Clue base high school party 80 federal judge teen seriously	1.0	0
  cute	0.0	0
  whoaaa amazing wanna squinting_face_with_tongue kinky lil slut ily	1.0	0
   serve rate barrel pal MAGA united_states united_states United_States President Trump	0.0	0
